roadID,XCoord_0,YCoord_0,XCoord_1,YCoord_1
101,815863,3385083,816066,3384959
102,816066,3384959,816203,3384904
103,816203,3384904,816479,3384813
201,815369,3383805,815469,3383832
202,815469,3383832,815570,3383844
203,815570,3383844,815601,3383848
204,815601,3383848,815960,3383869
301,815819,3383511,815722,3383742
302,815722,3383742,815601,3383848
401,817513,3385493,817513,3385275
501,817360,3385293,817513,3385275
502,817513,3385275,817701,3385272
601,817378,3384317,817433,3384516
602,817433,3384516,817484,3384568
603,817484,3384568,817545,3384742
701,816895,3384392,816959,3384887
801,816551,3384994,816959,3384887
802,816959,3384887,817545,3384742
803,817545,3384742,817760,3384716
901,818971,3383743,818871,3383554
902,818871,3383554,818664,3383182
1001,817907,3383861,818569,3383679
1002,818569,3383679,818871,3383554
1003,818871,3383554,819282,3383386
1101,818407,3383340,818569,3383679
1102,818569,3383679,818659,3383872
1201,819812,3384214,819658,3384272
1202,819658,3384272,819505,3384329
1301,817149,3381782,817178,3381777
1302,817178,3381777,817345,3381817
1303,817345,3381817,817420,3381882
1304,817420,3381882,817484,3381980
1305,817484,3381980,817549,3382294
1306,817549,3382294,817675,3382540
1307,817675,3382540,817722,3382759
1401,821871,3387759,822081,3387684
1402,822081,3387684,822165,3387667
1403,822165,3387667,822269,3387647
1404,822269,3387647,822542,3387591
1405,822542,3387591,822926,3387456
1501,817688,3385509,817701,3385272
1502,817701,3385272,817718,3385080
1601,817542,3380175,817541,3379595
1701,819577,3385343,819743,3385723
1801,822926,3387456,822982,3387582
1802,822982,3387582,823424,3388562
1901,820081,3389193,820262,3389043
1902,820262,3389043,820414,3388918
1903,820414,3388918,820689,3388691
1904,820689,3388691,820854,3388555
2001,820027,3380505,819966,3380560
2002,819966,3380560,819617,3380909
2101,816027,3383316,816026,3383504
2102,816026,3383504,816022,3383668
2103,816022,3383668,816016,3383866
2104,816016,3383866,816056,3384010
2105,816056,3384010,815982,3384020
2201,816496,3383515,816243,3383512
2202,816243,3383512,816026,3383504
2203,816026,3383504,815905,3383505
2301,819745,3384026,819578,3384091
2302,819578,3384091,819430,3384142
2401,818125,3387001,819461,3385930
2402,819461,3385930,819743,3385723
2501,822596,3387984,822241,3388253
2601,822542,3387591,822596,3387984
2701,822596,3387984,822940,3388403
2702,822940,3388403,822901,3388510
2703,822901,3388510,823047,3388689
2801,819567,3388579,819750,3388789
2802,819750,3388789,819881,3388945
2803,819881,3388945,820081,3389193
2901,820784,3390121,820955,3389807
2902,820955,3389807,820726,3389682
3001,820579,3389839,820367,3389544
3002,820367,3389544,820081,3389193
3101,820367,3389544,820465,3389461
3102,820465,3389461,820726,3389682
3201,820579,3389839,820726,3389682
3202,820726,3389682,820999,3389311
3203,820999,3389311,821281,3388921
3301,823374,3382441,823555,3382845
3302,823555,3382845,823553,3383104
3401,822388,3382596,823021,3382468
3402,823021,3382468,823374,3382441
